rating,review,sentimen
1,pesen gofood kalau ada masalah dalam status tidak berunah ga bisa ngechat kendala kita atau hub restochat cs pake template tapi kendala yang kita alamai ga ada ditemplatepayah,negatif
1,sering banget telatnya padahal udah pengiriman express loh,negatif
1,ribet masuk dari emial aja repot bgt,negatif
1,kenapa log in harus memakai nomor hp sedangkan akun utama saya menggunakan akun google ini harus memasukan nomor lama yang sudah lupa jadi makin sulit buat log in sangat tidak puas,negatif
1,parah sih gojek pinjamnya dh bunganya gede pinjem rb cairnya cuma dah gila gojek,negatif
5,kerenmksih,positif
5,ok deh,positif
1,payah,negatif
5,mantap selalu upgrade,positif
1,dikit blokir gopay leter jelek,negatif
1,setiap order sulit mendapatkan driver,negatif
1,gak jelas udah bertahun tahun menggunakan aplikasi gojekbuat ngajukan pinjaman aja tidak di acctransaksi puluhan juta dan pesan gofood gojek gocar berkali kali beli token listrik kouta paket data tetap tidak di acc buat mengajukan pinjamanbisa mengajukan kan kembali di kasih waktu sampai lamasampai berbulan bulanseperti pilih kasih aplikasi gojeklama kelamaan an tidak betah menggunakan aplikasi gojek ini lagi,negatif
1,setiap detik iklan menggangu banget deh pokoknya tolong ya kalau mau giniin iklan jangan sampai setiap detik saya sampai hapus berulang kali untung aja ini aplikasi berguna jadi sya masih instal dan masih bermunculan iklan setiap detik,negatif
5,sangat memudahkan kita dlm bertransfortasi,positif
5,senang banget pake go jek orang bayar rb di gojek cumn dan banyak promonya,positif
1,makin lama makin kurang ajar aja driver sekarang padahal dah dekat dari jarak dicancel mulu padahal lagi darurat dan milih prioritas tolong min hapus tombol cancel untuk driver atau rating jelek driver yang ngecancel,negatif
5,semoga kedepannya gojek semakin maju dan berkembang,positif
5,baguscepatlengkap,positif
1,maps sering ga jalan eror,negatif
5,terima kasih luar biasa buat gojeksukses selalu,positif
1,kurang suka sm driver nya pelayanan nya kurang bgus,negatif
1,tidak bisa daftar gopay,negatif
5,ok bgt,positif
5,bapak gojeknya baik dan sopan banget sehatsehat terus ya pak,positif
5,like it,positif
1,aplikasinya lemot dasar kg niat kerja,negatif
5,tepat waktu dan pengemudinya ramah dan baik,positif
5,si driver bakal telpon kalau pesanan gk ada di displaymau ganti pesanan atau tidak,positif
5,asyik,positif
1,banyak driver yg kurang ajar jika memang tidak mau bawa penumpang ngomong agar bisa segera di batalkan dan ganti driver lainini diam saja di chat tidak di jawab dan banyak juga driver yg selalu memaksa untuk lewat toldan biaya tol di bebankan ke penumpangini sungguh mengganggu kenyamanan namanya angkutan umum kena macet wajar sudah resiko g mau kena macet tidur aja drmh saran untuk gojek bgi driver yg merugikan blacklist aja ktpnya agr tdk merugikan costumer dan driver yg jujur dan ramah,negatif
1,saya di spam sama notif pembayaran gagal padahal saya nggak beli apapun,negatif
5,mantap banget nii,positif
5,wih aplikasinya ini oke pol,positif
1,saya sudah menggunakan instant dan jam garansi sampaitapi ternyata sudah hampir jam setengah orderan tidak kunjung datang,negatif
1,harusnya semua cs bisa pinter n profesionall,negatif
1,kecewa banget ga sengaja ke tekan ga bisa batalin pesan padahal hanya detik sial banget sama gojek padahal dikasih pilihan mau batalin apa tidak ga bisa di klik juga pokoknya kecewa banget padahal dari dulu sering pakai dan jadi mitra setia habis kali ini usaha banget ga akan pakai gojek selama masih ada pilihan bisa digunain padahal jasa mereka juga paling mahal dari jenis yang sama bantuan yg anda maksud tidak membantu sama sekali yg ada nanti tetap saya pihak di rugikan,negatif
1,aplikasi bego cm mau untung sendiri gocar dri bkt ujung menteng ke semanggi argo cm  memang pagi ga hitung macet ga worth it banget driver kerja bakti nombok bensin tarif ga manusiawi,negatif
1,go food nya yang bener napa bikin aturan biar konsumen gk nunggu terlalu lama masa iya harus nunggu jam lebih kan gila jika nanti ditinggal ama konsumen kasihan driver siapa yang bertanggung jawab disini,negatif
5,aplikasi nya mudah digunakan fitur nya sangat membantuu,positif
1,paling ga seneng pembatalan sepihak udh nunggu lebih dari menit baru aja kejadian buat apa nunggu klw batal emang lu sapa presiden kemarin juga telat menit karena transaksi double tetep aja aku bayar untuk expresshapus aja ni pukul rata standar bintang pun ga layak,negatif
5,bisa mambantu smuanya,positif
1,gimana si cari driver dapet tapi pada ga respon udah gtu ga jelas ga jalan org butuh segera kok sdmnya begitu padahal pesen yg prioritas dan xl tapi sdm tidak punya attitude tdk menghubungi cust tdk konfirmasi diam saja kecewa,negatif
5,udah bagus cuma di bali paling susah buat gofood,positif
5,mantulul,positif
5,sangat terbantukan saat anak harus berangkat pagi semua,positif
5,cepet,positif
3,layanan kebersihan goclean di adakan lagi min,negatif
1,orang yang ga kenal bisa chat kita fitur apa itu jadi banyak spam ga jelas,negatif
5,cepat gesit dan lincah,positif
1,sumpah nih drive nya gojek ngeselin bgt kya ga butuh uang aja mungkin ga semua tpi rata gtu hujan kecil aja mls buat ambil orderan ujungnya di cancel yg rugi kita jg beda bgt sama apk ojol lainya lain kli tolong ya klo emng lagi butuh saling menghargai soalnyaa kita yg suka di cancel pesannya merugikan bgt,negatif
5,mudah dan bnyak bonus ny,positif
5,dunia di permudah dari antar jemput sampai beli fast food nyaman dengan gojek,positif
5,best servis dupir gojek dan aplikasi nya,positif
5,sangat membantu kebutuhan sehari hari,positif
2,pengalaman pertama kali saya memakai gojek adalah jika sedang memesan tiket kereta sendiri ke menu padahal di aplikasi lain gak lag hp juga gak lag,negatif
2,banyak iklannya di hp xiaomi,negatif
5,jd ngerasa dewasa klo make ini,positif
1,bad app,negatif
5,terlalu mahal,positif
5,satusatunya aplikasi online yg saya gunakan recommended soalnya,positif
5,sangat puas cari pengiriman tepat waktu dan sopan santun,positif
1,nyari driver susah pdhl urgent mau ke rsgojek gak sat set hadeh bintang,negatif
5,nice and enjoy,positif
5,wih setia banget nhe saya ama gojek,positif
1,update mulu tapi aplikasi sering eror ngurus gojek aja gak bener malah jadi mentri pendidikan benerin aplikasinya eror mulu lagi ada kepentingan malah eror,negatif
5,sangat bagus untuk pembayaran nya,positif
1,engga bgt sumpah pas lagi di butuhin malah error terus ga bisa cari lokasi haduh susah dpt driver,negatif
1,aplikasi paylayer pinjaman paling ga jelas ga pernah telat saja bentr di blokir pinjaman ga pernah telat pas di lunasi pinjam lg langsung ga bisa emang aplikasi tai sangat buruk,negatif
5,puas bgt,positif
5,sangat membantu untuk bepergian yang tidak memiliki kendaraan terimakasih sukses selalu,positif
3,sepertinya sebagian oknum driver suka memanfaatkan waktu tertentu hanya mau mengambil tarif ongkos yg paling mahal,negatif
1,tidak adil,negatif
5,jangan sampai tarif y naik terus dan terlalu mahal pasti konsumen hilang,positif
5,klo pendapat aku gojek mantap cuma mtr nya kadang g meyakinkan coba gojek mtr nya bgus bgus y,positif
5,intuitif dan bermanfaat,positif
1,kenapa akun pluss saya di lembalikan ke reguler ya padahal udah x jam saya tungguin tanggapan nya di pusat bantuan respon nya sama sekali tidak membantu saya kasih bintang dlu,negatif
5,aplikasi bagus membantu tapi driver drivernya terkadang ada yang kurang pilih pilih orderan lah tiba menjauh dari titik jemput lah tanpa ada konfirmasi sebelumnya sangat di sayangkan oknum oknum seperti ini merusak citra aplikasi nya,positif
5,sangat membantu dan nggak ribet lancar terus gojek,positif
1,tiap kali order gofood selalu diminta uang parkir padahal di restonya gaada biaya parkir gojek kasih gaji yg layak dong buat drivernya biar ga kek gini,negatif
5,kenapa di go mart ga bisa order rokok boss,positif
1,kacau nih pesen gocar malem udh pesen x lebih dibatalin mulu sama drivernya tolong deh ini saya butuh buat pulang bahkan sering ngasih tip tapi kecewa berat mana saya bawa nenek saya malem mau pulang gk jelas aplikasi nih drivernya juga kenapa deh gk mau ngambil padahal deket hadeeh,negatif
5,sangat membantu di segala situasi dan kondisi,positif
5,saya merasa sangat terbantu dengan aplikasi ini untuk menjemput anak anak pulang sekolah,positif
4,bagus belanja jadi lebih praktis cuma mapnya aja kurang jelas,positif
1,tindak tegas dong driver gak jelas yang bikin saldo gocorp gw hanguss,negatif
1,driver banyak deket tapi ga mau ambil job,negatif
5,is the best dan sangat bermanfaat,positif
2,qris gk bisa di scan,negatif
5,aplikasi yang serba guna mempermudah konsumen untuk urusanfoodpengirimanbepergiandll tinggal klik aja semua beres bintang ku berikan slalu,positif
5,ko skrg psen goridegocar skrg lama bgtaq sring bgt cancel orderan dgn alasan waited too long loh,positif
5,sangat membantu terimakasih,positif
1,parah baru tadi saya order gojek pengemudi nya sengaja di lama lamakan kayak kura kura lelet,negatif
1,tolong untuk pihak gojek rutemap kita konsumen sering berdebat masalah rute dengan driver karena rute tujuan bukan rute penjemputan tidak sesuai dengan gmaps tolong untuk di perbaiki maps untuk rute tujuan bukan rute penjemputan jelasjelas dari scbd ke aeon bsd lebih dekat dan hemat waktu lewat tol dalam kota itu tidak jauh dari scbd ini rute gojek di suruh lewat cipulir baru masuk baru masuk tol jor gmaps klo masih seperti ini saya pindah ke bluebird dan grab tolong rutenya di perbaiki,negatif
1,ongkos na sangat mahal,negatif
1,tidak ada bantuan chat dengan cs di aplikasinya,negatif
5,pokoknya the best layanan gojek tuh,positif
5,good service semua drivernyagojek minta tolong sampaikan terima kasih kepada driver gojek yang ada di jogjakarta ga sempet kenalan karna terbatas waktu dan tempat krn udah nolong aku untuk cari jalan di malioboro biasanya lewat jalan biasatp ditutup ada festival alhasil dipertemukan oleh driver yang ngarahin aku dan temanku lewat jalur alternatif lain terima kasih banyak bapak driver yang aku ga tau siapa beliautp aku yakin beliau berhati mulia dan amanah lancar rezeki urusannya pak,positif
5,baik pelayanan nya recommend,positif
5,mantap lebih ada gocar,positif
1,sangat mengecewakan sebagai pelanggan setia gojek masa gara telat hari pembayaran gopay latter sampai di bekukan gopay pinjam sama paylater nya saya kasih bintang nanti kalau udh aktif lg saya ksih bintang lagi,negatif
1,sekarang aplikasi nya sering ngebugmales jadi pakainya pelit promo sekarang d banding shopee food dan grab,negatif
1,tiap kali order pas ujan gak yg mobil gak yang motor sllu susah dan gak pernah dapet,negatif
5,sukses selalu,positif
5,mantap lumayan narik gosen,positif
1,sangat tidak suka potongan ke driver nya terlalu besar,negatif
5,ok bnget,positif
1,ko aneh udah di update tapi tetep pas mau login muncul bacaan update trus padahal aplikasinya udah di update kenapa sih,negatif
1,jelek bgt smua voucher hilang setelah d update pdhl blm d pke biaya ongkir dan pajak besar order k ongkir k gak waras dan lokasi nya bergeser jauh dari titik lokasi yang di input saya jadi kasihan sama drivernya,negatif
1,ah aplikasi bodoh,negatif
5,sangat trbantu,positif
1,saya tidak melakukan transaksi apapun tiba saldo saya terkuras,negatif
2,kenapa sih sering lemot sinyalnya jd suka salah paham sama driver nya,negatif
3,knp sering banget eror sih gojek udah pesen gostasiun eh aplikasinya eror gbisa buka barcode untuk scan gbisa pesen gojek gabisa batalin tiket krl yg udah dipesen besoknya tiket krlnya hangus sering juga terpaksa melipir dari antrian karena barcodenya ga muncul pas mau tap keluar belum lagi di maps g gerak bikin suudzon sama driver mau nunggu apa ngga soalnya kok masih jauh ga jalan untung beneran dateng itu driver udh hampir menit nungguin kirain internet yg mslh gataunya apk elu,negatif
5,an dan nyaman,positif
5,mantap sip dach pokokny,positif
1,gopaylater tidak bisa di pakai,negatif
1,semua promo di blokir katanya ada penyalahgunaan promo padahal kalo sistem yang salah kasih promo kenapa pengguna nya yg kena sanksi sudah minta bantuan dan katanya tidak bisa mengubah sanksi dan terancam akun di blokir dan sudah saya uninstal ganti aplikasi lain saja,negatif
5,bagus apk ini ga nyesel deh kalau mau download karena tiap hari kita pesan makin banyak voucher nya,positif
1,supirnya banyak yang tidak sopan,negatif
1,gila yah denda playlater gede banget  rb hanya telat sehari padahal nominal nominal playlaterku  rb gila sih padahal di aplikasi sebelah gk segede ini palingan belasan ribu dengan nominal playlaterku yg ,negatif
1,sekarang mahal banget dan pelit diskon lama gw uninstall nih gaje banget,negatif
1,aplikasi terlalu ribet,negatif
1,dirver ganti lokasi,negatif
5,alhamdulilah sudah bisa lagi pesen transpotasi lewat gojek,positif
5,lebih prima lagisip,positif
1,download bolak balik cape doang ngga bisa di install,negatif
5,cepat tepat hemat,positif
1,kok susah banget cari gojek,negatif
1,gimana nya ini saya sudah isi kuota internet kok gak masuk minimal gopay nya jangan di potonglah kalau gak masuk tolong di urus y,negatif
5,murahcepatbisa diandalkan,positif
5,ok sangatlah penting untuk perjalanan saya,positif
5,lov u,positif
5,cepat dan murah,positif
5,plis gua minta update trus ga bisa login,negatif
1,top up gak masuk tp malah kepotong,negatif
4,aku kasih dulu nanti kalo dompet nya udh di buka blokiran nya kukasih masa dompet gopay nya ke blokir padahal baru top up,negatif
5,pengantaran tepat waktu,positif
5,maantap,positif
2,makin sering dipake makin mahal buat goride sama gofood malah murah grab bahkan grab sekarang bisa qris,negatif
5,keren pelayanan primasangat membantu,positif
5,respon cepat driver ramah,positif
2,halo akun saya kena suspended udah beberapa kali email help center pun ga ada solusi cuman dibales akun saya ga bisa digunakan memang salah saya karna pesan cancel pesan cancel tapi itu juga karna ga ada yang pick up sama sekali dan situasinya saya lagi buru lalu tadi juga akhirnya saya coba buat hapus account tapi ga bisa udah coba beberapa kali tetep sama aja ga bisa,negatif
1,makin lama tarif makin mahal gk ngotak,negatif
5,mantap terimakasih,positif
1,pesen mobil udah ditunggu lama eh ternyata orngnya lagi di rumah bilang nya ngga liat hp ditanya kenapa ditrima pas di tanya katanya otomatis dari apk nya haduh bikin langganan kecewa,negatif
1,kecewa banget pake gojek dan gopay tidak pernah dikasih limit paylaternya padahal transaksi sering bangetauto pindah ke grab pas klik langsung dapat paylater kenapa gojek miskin dan bermasalah sekarang sangat memalukan lebih baik tutup aplikasi aja kalo tidak bisa memberikan layanan kepada costumer grab always no  gojek kelaut ajalah,negatif
1,udah seneng ada diskon k eh php tibatiba di hapus lawak,negatif
5,memudahkan perjalanan ketika di luar kota,positif
5,sangat membantu di saat akan beli makanan yang di suka tanpa antri,positif
5,ok mantab gopay banyak bonusnya makasih attentinya attensinya ya,positif
1,para driver kasih tahu helm yang sudah rusak jangan dipakai lagimasa bayar mahalmahal kostumer di kasih helm rusak,negatif
1,kasihan potongan driver terlalu besar padahal customer juga bayar mahal,negatif
5,nyamandriver ramah,positif
2,saya memiliki keluhan atas pihak gojek di karenakan pemblokiran atas akun gopay saya padahal saya sudh melakukan banding tapi ttp aja masih di tolak oleh pihak gopay gojek,negatif
1,bot recommended,negatif
5,gojek merupakan aplikasi yg sangat memudahkan utk memesan makanan dgn gofoodterima kasih gojek,positif
1,ga jelas aplikasi nyaudah saya kasih alamat malah ga adabintang,negatif
1,tolong dibantu ini kenapa saya top up gopay x tidak masuk haah,negatif
5,tpt wktu driver ramah,positif
1,gajelas tiba tiba saldo gopay kesedot buat langganan gojek plus harii padahal ga pernah nyalain auto subscribtion dan gaada opsi untuk mematikan auto subscriptionnya,negatif
5,terimakasih gojek sangat membantu,positif
1,selagi keuntungan aplikator besar sangat tidak merekomendasi,negatif
5,bagus dan baik,positif
5,aplikasi ini sangat membantu disaat mager cari makan atau saat butuh transportasi yang sat set untuk wilayah jawa timur pelayanannya ok,positif
5,terimakasih atas bang gojek serta apk nya yaa utamakan keselamatan dan kenyamanan penumpang sukses selalu,positif
5,selalu dapet promo diluar nurul pokoknya ter the best nih apalagi difood semua promo murah bgt,positif
2,pesen gofood udah nunggu sejam malah batal karena ngga dapet driver pas makanan lagi dimasak cari driver gojeknya biar pas makanan siap bisa langsung dianter,negatif
5,segalanya sangat mudah dgn gojek,positif
5,bermanfaat sekali praktis mudah banyak pilihan dn aman,positif
1,ini harga ngantar cuma m biayanga k ada otak nggak kalo ngasih harga,negatif
5,jarang pakai sih tp sangat membantu,positif
5,kerenn si mas sopan santun dan ramah banget,positif
4,jgn kasih driver yg lelet yah,negatif
1,gojek kenapa sih driver gocar nya arogan dan banyak yang suka pilih argo dekat tapi mahal dikit cancel dikit marah arogan jika suruh nunggu sebentar tolong gojek perketat driver car nya dan jika customore bawa barang yang sopan jika masih muat,negatif
5,maaf ini gimana ya sudah masuk pake nomer tlp yg bener tpi gk bisa masuk kode otp ya gk dikirim trus gmna bisa ambil dana go pay nya saya butuh buat insentiv prakerja kok gojek begini sekarang,negatif
4,tidak selalu mengecewakan koq,positif
5,baik pelayanannya sering promo ya,positif
1,susah sekali dapat driver gocar wilayah saya pdahal saya bayar tetap aj di tolak posisi tak balek saat dah dpt saya batalkn pasti marah sikap driverny payah,negatif
1,nyari hampir setengah jam ko ga ada yg nyangkutgojek ga bisa buat buru burujadi di uninstall dahganti grab,negatif
2,apakah go pay later sdh tidak bisa dipakai di tokopedia,negatif
3,dua kali pesan go car dua kali ndak tau alamat yg tepat buat nunggu lama trus minta di cancel ampun,negatif
5,ayo produk lokal jagan kalah sama produk luar jangan main aman ayo gojek kuasain asean minimal jangan jadi katak di dalam sumur good luck,positif
5,pengemudi cukup sopan dan pakaiannya bersih,positif
1,saya pesen makanan udah nunggu lama banget belum diantar juga awalnya udah cancel lalu cati restoran lain karen udah nunggu hampir jam lalu cancel sampai sekarang belum diantar juga,negatif
4,apa coba tiba lagi diperbaiki bjirr ga bilang,negatif
1,sistem terlalu ribet buat nyari driver yang cepat harus bayar tambahan lagi kalau tidak mau nunggu untuk dapat driver sama  menit lebih lamalama makin mencekik user ini aplikasi,negatif
1,banyak harga makanan relatif lebih mahal ketika pesan online dibanding langsung beli ditempat misalnya saya beli martabak harga onlinegojek nya ribu tapi pas saya datengin ke tempatnya langsung cuma ribu tidak termasuk ongkir kalo tambahan ongkir wajar saja tapi kalo harga produk nya berbeda nah itu anehh,negatif
1,sering top up gak masuk terus jadi males pakek apk gojek sekrng,negatif
1,promonya kurang,negatif
5,aplikasi yang sangat membantu aku jika lagi dalam keadaan mau pergi pergi,positif
1,menerima panggilan di app gojek menyebabkan output ke device bluetooth jadi hilang harus restart device agar perangkat bt bisa mengeluarkan suara lagi,negatif
1,kalo diapk ada diskkon gaperna dianter sama oknum gojeknya,negatif
5,the best lahh,positif
5,cepst dan nyaman,positif
3,sangat sangat membantu dengan adanya ojek online,positif
5,mantep wee,positif
5,sangat membantu keperluan seharihari,positif
2,mohon utk aplikasi di benarkan lagikrn lokasi nya nggak ke record,negatif
5,mantap jalan jalan ama gojek,positif
4,gajelas suka dapet driver yang jauh nyusahin,negatif
5,bagus terpercaya,positif
5,kelazz bang,positif
2,cari driver nya lama bgt,negatif
2,tolong dong gojek ini lagi butuh bngt knapaa eror sih pas mau login astaga,negatif
5,gojek profesional,positif
5,memudahkan dan menghemat waktu di perjalanan untuk tujuan atau pun memesan makanan,positif
5,gojek sangat membantu dalam berbisnis,positif
1,kirain cuman saya ajah ternyata banyak juga yang komplain dikasih driver yang jauh pantesan ga kasian sama driver dan pelanggan sekalian kasih driver dari pulau seberang,negatif
1,banyak sopir yg ga niat dan bug yg belum dibetulin,negatif
2,nggka bis,negatif
5,oke jangan mengecewakan lagi,positif
5,makasih vouchernya,positif
5,membantu sekali,positif
3,mohon untuk penggantian nomor supaya kode otp nya bisa dikirim via email,negatif
1,kangen gojek yg dl skrg bru telat  hari krna taun baruanyg nagihnya ky renternir ngancam ga sopan nerorpdhl udh dkomunikasiih tggu hri lg hati kawan dlm pemakainannya pdhl sy setia sm gojekga prnh brmasalah tp skrg jd males bgt sm aplksi ini  mna skrg promonya kbnyakan syaratnya ga ky dl promonya ga bnyak syarat,negatif
5,andalan di kala sibuk,positif
5,gacor kang walupun aku suka dengan aplikasi nya,positif
1,sumpah aplikasi yang kebanyakan isinya driver sampah percuma driver punya keterangan bintang tapi suka cancel cust seenaknya dan tanpa penyebab yang pasti rating cust seenaknya cust seakan dituntut buat kasih bintang dan tip ke driver tapi apa para driver seenaknya udah mana selalu ngeluh dan bagibagi data driver digrup mereka buat jadi bahan lelucon,negatif
1,akan gw rating bagus kalo rating penumpang bisa keliatan banyak yang gak tau diri kasih rating jelek karena gak dikasih tips,negatif
5,terimakasih banyak drivernya baik banget,positif
1,pesen go food pengiriman makanan lama padahal resto tidak terlalu jauh tapi nunggu setengah jam lebih,negatif
5,gojek layanan bagus dan alhamdulillah sering dapat diskon terimakasih gojek semoga makin berjaya,positif
5,aplikasi yg bermanfaat dan bertanggung jawab,positif
5,mantap coy,positif
5,bagus sekali,positif
5,sangat membantu sekalisaat perut lapar tinggal pencet tunggu bentar datang deh,positif
1,ini gofood apaan masa biaya penanganan n pengiriman lebih mahal x lipet dri harga makanana kan tolol,negatif
5,bagus aja pokonya,positif
5,baik apk nya driver ny jg ramah ramah gk sombong,positif
1,makin buruk aplikasi nya dan makin tidak jelas,negatif
3,sangat membantu tapi kecewa karna suka eror,negatif
1,lol akun saya di blokir tanpa sebab,negatif
5,aku suka pake aplikasi ini,positif
5,aman nyaman pokok nya ok,positif
5,klo buat gojek nya sih g pernah ngecewakan cuma gopaylaternya g pernah di acc trs,positif
2,saya pengguna gojek mines supir banyak yg minta uang lebih ketika perjalanan malam haridn banyak yg cancel sering juga berganti menolak,negatif
1,lama bnget nunggunya,negatif
1,saya punya pengalaman ga menyenangkan dari driver gocar ini dia yang minta cancel sudah saya turutin cancel tibatiba dia dateng marahmarah kenapa di cancel saya bilang saya cuman nurutin permintaan dia tapi ujungujungnya dia minta duit ganti rugi apakah semua driver begini ya,negatif
1,akun saya terblokir dengan alasan penyalahgunaan vocher buat apa ngadain promo kalo gak boleh dipakai tolong management gojek yang terhormat bkn nya memberi solusi ketika ada complain malah membiarkan,negatif
5,mempermudah apa yg kita inginkan,positif
5,mempermudah segala urusan biar tidak ribet klu mau pergian dan selain itu gojek selalu memberikan yg terbaik pokonya puas dengan apanya aplikasi gojek sukses selalu pokonya saya kasih rating,positif
5,membantutapi sayang masih banyak driver yang pilih,positif
5,sangat bermanfaat bgt untuk sayaapalagi kalo lgi daruratgak bisa keluartinggal pesanpas pergi gak ada kendaraantinggal di antarapalagi banyak diskon nyathnxs you gojek,positif
5,mudah untuk mendapat driver peta lokasi jelas driver ramah sopan dan tepat waktu,positif
1,lagi lgi cukup kecewa sama gojek ngl udah capek transfer dari bank smpai kepake biaya adminnya tpi saldo ga masuk lalu disuruh tunggu untuk pemorsesan hari kerja keburu ga jadi makan yang ada sebenarnya,negatif
1,biaya penangan gojek radarada gilak ya masa psen makanan rbu biaya penangannya ribu ini syp yg buat sihh dlu rbuan rbuan masih masuk akal lah tp ini hampir sama kayak harga makanabnya,negatif
5,baik dan nyama,positif
5,pihak gojek gimana ya dipesanan tertera bbrapa menit tapi selalu saja sampai lebih lama misal nunggu menit itu sudah jalan atau belum saya tunggu menit drivernya baru jalan nanti sampai sekitar menitan tolong saya juga kejar waktu,positif
1,kecewa,negatif
5,transportasi online yg top banget,positif
5,mantap dan kalau biss tambahin lagi promonya,positif
1,lama lama jadi ngaco,negatif
5,sangat membantu bagi yg g punya motor kaya saya hehehe good job dah pokoknya,positif
5,gojek sangat membanty masyarakat mencapai arah yang ditujunya dengan cepat dan aman,positif
1,aplikasi busuk saldo terpotong tanpa adanya perjalanan tidak bisa dilaporkan karena lebih dari jam masalahnya tidak ada notifikasi,negatif
4,plise lah gojek ngk pernah sekecewa ini udh kali lohh aku pesan apa yg datang nya apa padahal kan kita sengaja mesan yg lebih mahal biar enak ini yg datang ngk sesuai sama yg di order plise gojek cari solusinya,positif
5,very good banyak diskon,positif
1,agak laen ni apk nyusahin bat,negatif
